Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Average, in US$",93,89,85,86,79,84,85,84,85,82,89,86,83,86,81,77,77,76,87,78,77,79,82,89,98,84,93
"Average, inflation adjusted in 2016 US$",171,157,145,144,128,132,130,126,124,118,125,116,110,112,103,95,92,89,97,87,85,84,85,91,99,85,93
"Average, adjusted for purity",164,133,129,129,118,131,123,126,123,130,154,148,125,132,118,113,106,123,171,177,165,168,186,185,208,171,165
"Average, adjusted for purity and inflation in 2016 US$",297,235,220,214,192,207,189,188,180,187,215,200,167,173,150,139,126,143,191,198,181,179,194,190,210,173,165
