Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Average, in US$",209,249,280,217,233,230,197,208,188,181,179,166,164,156,147,149,141,144,147,147,130,136,144,151,168,146,152
"Average, inflation adjusted in 2016 US$",379,433,478,361,377,362,302,311,277,260,249,225,219,203,187,183,168,166,164,164,143,145,151,155,170,148,152
"Average, adjusted for purity",909,889,756,572,582,548,534,507,447,451,458,448,432,445,475,451,470,435,446,489,565,523,465,487,540,470,491
"Average, adjusted for purity and inflation in 2016 US$","1,648","1,547","1,277",950,942,862,816,758,659,650,639,607,577,581,603,554,559,504,498,547,622,558,486,501,548,476,491
