Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Average, in US$","162,500","155,000","150,000","146,000","142,500","146,000","141,875","129,375","125,000","107,000","81,200","59,500","50,750","68,800","65,500","65,000","65,000","71,200","57,500","65,053","65,750","55,583","61,000","61,000","68,333","59,500","53,333"
"Average, inflation adjusted in 2016 US$","298,402","273,136","256,600","242,498","230,776","229,928","217,024","193,464","184,054","154,146","113,174","80,635","67,706","89,742","83,221","79,879","77,383","82,417","64,098","72,776","72,369","59,307","63,767","62,846","69,277","60,251","53,333"
