Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Average, in US$","48300","48100","44730","42180","38640","35700","34320","31960","30870","29580","21500","23000","21500","22066","20500","20500","26500","31000","26500","28250","30750","40800","29000","28750","29000","28250","28000"
"Average, inflation adjusted in 2016 US$","87589","83704","75565","69186","61797","56222","52499","47792","45454","42613","29966","31170","28683","28783","26046","25193","31549","35884","29541","31604","33846","43533","30315","29620","29401","28606","28000"
