,Country,Region,Pop. Density,Infant mortality,GDP
74,Gaza Strip ,NEAR EAST                          ,3968.8,22.93,600
75,Georgia ,C.W. OF IND. STATES ,66.9,18.59,2500
76,Germany ,WESTERN EUROPE                     ,230.9,4.16,27600
77,Ghana ,SUB-SAHARAN AFRICA                 ,93.6,51.43,2200
78,Gibraltar ,WESTERN EUROPE                     ,3989.7,5.13,17500
79,Greece ,WESTERN EUROPE                     ,81.0,5.53,20000
80,Greenland ,NORTHERN AMERICA                   ,0.0,15.82,20000
81,Grenada ,LATIN AMER. & CARIB    ,260.8,14.62,5000
82,Guadeloupe ,LATIN AMER. & CARIB    ,254.4,8.6,8000
83,Guam ,OCEANIA                            ,316.1,6.94,21000
84,Guatemala ,LATIN AMER. & CARIB    ,112.9,35.93,4100
85,Guernsey ,WESTERN EUROPE                     ,838.6,4.71,20000
86,Guinea ,SUB-SAHARAN AFRICA                 ,39.4,90.37,2100
87,Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,39.9,107.17,800
88,Guyana ,LATIN AMER. & CARIB    ,3.6,33.26,4000
89,Haiti ,LATIN AMER. & CARIB    ,299.4,73.45,1600
90,Honduras ,LATIN AMER. & CARIB    ,65.4,29.32,2600
91,Hong Kong ,ASIA (EX. NEAR EAST)         ,6355.7,2.97,28800
92,Hungary ,EASTERN EUROPE                     ,107.3,8.57,13900
94,India ,ASIA (EX. NEAR EAST)         ,333.2,56.29,2900
95,Indonesia ,ASIA (EX. NEAR EAST)         ,127.9,35.6,3200
96,Iran ,ASIA (EX. NEAR EAST)         ,41.7,41.58,7000
97,Iraq ,NEAR EAST                          ,61.3,50.25,1500
98,Ireland ,WESTERN EUROPE                     ,57.8,5.39,29600
99,Isle of Man ,WESTERN EUROPE                     ,131.9,5.93,21000
100,Israel ,NEAR EAST                          ,305.8,7.03,19800
101,Italy ,WESTERN EUROPE                     ,193.0,5.94,26700
103,Japan ,ASIA (EX. NEAR EAST)         ,337.4,3.26,28200
104,Jersey ,WESTERN EUROPE                     ,785.2,5.24,24800
105,Jordan ,NEAR EAST                          ,64.0,17.35,4300
106,Kazakhstan ,C.W. OF IND. STATES ,5.6,29.21,6300
107,Kenya ,SUB-SAHARAN AFRICA                 ,59.6,61.47,1000
108,Kiribati ,OCEANIA                            ,130.0,48.52,800
109,"Korea, North ",ASIA (EX. NEAR EAST)         ,191.8,24.04,1300
110,"Korea, South ",ASIA (EX. NEAR EAST)         ,496.0,7.05,17800
111,Kuwait ,NEAR EAST                          ,135.7,9.95,19000
112,Kyrgyzstan ,C.W. OF IND. STATES ,26.3,35.64,1600
114,Latvia ,BALTICS                            ,35.2,9.55,10200
115,Lebanon ,NEAR EAST                          ,372.5,24.52,4800
116,Lesotho ,SUB-SAHARAN AFRICA                 ,66.6,84.23,3000
117,Liberia ,SUB-SAHARAN AFRICA                 ,27.3,128.87,1000
118,Libya ,NORTHERN AFRICA                    ,3.4,24.6,6400
119,Liechtenstein ,WESTERN EUROPE                     ,212.4,4.7,25000
120,Lithuania ,BALTICS                            ,55.0,6.89,11400
121,Luxembourg ,WESTERN EUROPE                     ,183.5,4.81,55100
122,Macau ,ASIA (EX. NEAR EAST)         ,16183.0,4.39,19400
123,Macedonia ,EASTERN EUROPE                     ,80.9,10.09,6700
124,Madagascar ,SUB-SAHARAN AFRICA                 ,31.7,76.83,800
125,Malawi ,SUB-SAHARAN AFRICA                 ,109.8,103.32,600
127,Maldives ,ASIA (EX. NEAR EAST)         ,1196.7,56.52,3900
128,Mali ,SUB-SAHARAN AFRICA                 ,9.5,116.79,900
129,Malta ,WESTERN EUROPE                     ,1266.5,3.89,17700
130,Marshall Islands ,OCEANIA                            ,5.1,29.45,1600
131,Martinique ,LATIN AMER. & CARIB    ,396.5,7.09,14400
132,Mauritania ,SUB-SAHARAN AFRICA                 ,3.1,70.89,1800
133,Mauritius ,SUB-SAHARAN AFRICA                 ,608.3,15.03,11400
134,Mayotte ,SUB-SAHARAN AFRICA                 ,538.1,62.4,2600
135,Mexico ,LATIN AMER. & CARIB    ,54.5,20.91,9000
136,"Micronesia, Fed. St. ",OCEANIA                            ,153.9,30.21,2000
137,Moldova ,C.W. OF IND. STATES ,132.0,40.42,1800
138,Monaco ,WESTERN EUROPE                     ,16271.5,5.43,27000
139,Mongolia ,ASIA (EX. NEAR EAST)         ,1.8,53.79,1800
140,Montserrat ,LATIN AMER. & CARIB    ,92.5,7.35,3400
141,Morocco ,NORTHERN AFRICA                    ,74.4,41.62,4000
142,Mozambique ,SUB-SAHARAN AFRICA                 ,24.6,130.79,1200
143,Namibia ,SUB-SAHARAN AFRICA                 ,2.5,48.98,7200
144,Nauru ,OCEANIA                            ,632.7,9.95,5000
145,Nepal ,ASIA (EX. NEAR EAST)         ,192.2,66.98,1400
146,Netherlands ,WESTERN EUROPE                     ,397.1,5.04,28600
147,Netherlands Antilles ,LATIN AMER. & CARIB    ,231.0,10.03,11400
148,New Caledonia ,OCEANIA                            ,11.5,7.72,15000
149,New Zealand ,OCEANIA                            ,15.2,5.85,21600
150,Nicaragua ,LATIN AMER. & CARIB    ,43.0,29.11,2300
151,Niger ,SUB-SAHARAN AFRICA                 ,9.9,121.69,800
152,Nigeria ,SUB-SAHARAN AFRICA                 ,142.7,98.8,900
153,N. Mariana Islands ,OCEANIA                            ,172.9,7.11,12500
154,Norway ,WESTERN EUROPE                     ,14.2,3.7,37800
